seed,end_reason,wall_seconds
20260723016,terminal_deadlock,278
20260723017,terminal_deadlock,277
20260723018,terminal_deadlock,220
20260723019,terminal_deadlock,207
20260723020,terminal_deadlock,267
20260723021,terminal_deadlock,232
20260723022,terminal_deadlock,219
20260723023,terminal_deadlock,233
20260723024,terminal_deadlock,284
20260723025,terminal_deadlock,229
20260723001,full,1201
20260723002,terminal_deadlock,423
20260723003,terminal_deadlock,199
20260723004,full,1201
20260723005,terminal_deadlock,1141
20260723006,terminal_deadlock,1112
20260723007,terminal_deadlock,964
20260723008,terminal_deadlock,1115
20260723009,terminal_deadlock,680
20260723010,full,1201
20260723011,terminal_deadlock,596
20260723012,terminal_deadlock,1040
20260723013,full,1201
20260723014,full,1202
20260723015,terminal_deadlock,188
20260723016,terminal_deadlock,711
20260723017,full,1202
20260723018,full,1202
20260723019,terminal_deadlock,238
20260723020,terminal_deadlock,264
20260723021,full,1203
20260723022,terminal_deadlock,809
20260723023,terminal_deadlock,1163
20260723024,full,1201
20260723025,terminal_deadlock,829
20260723001,full,1201
20260723002,full,1203
20260723003,full,1203
20260723004,full,1200
20260723005,full,1203
20260723006,full,1202
20260723007,full,1203
20260723008,full,1202
20260723009,full,1202
20260723010,full,1202
20260723011,full,1203
20260723012,full,1203
20260723013,full,1201
20260723014,full,1202
20260723015,full,1203
20260723016,full,1202
20260723017,full,1202
20260723018,full,1203
20260723019,full,1203
20260723020,full,1202
20260723021,full,1202
20260723022,full,1200
20260723023,full,1202
20260723024,full,1202
20260723025,full,1200
20260723001,full,1202
20260723002,full,1203
20260723003,full,1202
20260723004,full,1203
20260723005,full,1202
20260723006,full,1203
20260723007,full,1203
20260723008,full,1202
20260723009,full,1201
20260723010,full,1202
20260723011,full,1204
20260723012,full,1202
20260723013,full,1203
20260723014,full,1203
20260723015,full,1201
20260723016,full,1203
20260723017,full,1200
20260723018,full,1202
20260723019,full,1201
20260723020,full,1203
20260723021,full,1203
20260723022,full,1203
20260723023,full,1203
20260723024,full,1202
20260723025,full,1203
20260723001,full,1236
20260723002,terminal_deadlock,663
20260723003,full,1232
20260723001,full,1207
20260723002,full,1206
20260723003,full,1208
20260723004,full,1207
20260723005,full,1208
20260723006,full,1207
20260723007,full,1204
20260723008,full,1206
20260723009,full,1204
20260723010,full,1206
20260723011,full,1204
20260723012,full,1205
20260723013,full,1202
20260723014,full,1203
20260723015,full,1207
20260723016,full,1204
20260723017,full,1202
20260723018,full,1204
20260723019,full,1207
20260723020,full,1202
20260723021,full,1205
20260723022,full,1206
20260723023,full,1205
20260723024,full,1205
20260723025,full,1203
20260723001,missions_done,122
20260723001,missions_done,672
20260723001,missions_done,358
20260723002,missions_done,465
20260723003,missions_done,340
20260723004,missions_done,1629
20260723005,missions_done,459
20260723006,missions_done,652
20260723007,missions_done,1350
20260723008,missions_done,1247
20260723009,missions_done,575
20260723010,missions_done,514
20260723011,missions_done,321
20260723012,missions_done,1291
20260723013,missions_done,1485
20260723014,missions_done,704
20260723015,missions_done,472
20260723016,missions_done,682
20260723017,missions_done,160
20260723018,missions_done,394
20260723019,missions_done,794
20260723020,missions_done,355
20260723021,missions_done,492
20260723022,missions_done,453
20260723023,missions_done,385
20260723024,missions_done,821
20260723025,missions_done,495
20260723010,missions_done,116
20260723011,missions_done,638
20260723012,missions_done,150
20260723013,missions_done,89
20260723014,missions_done,215
20260723015,missions_done,242
20260723016,missions_done,182
20260723017,missions_done,602
20260723018,missions_done,668
20260723019,missions_done,426
20260723020,missions_done,558
20260723021,missions_done,37
20260723022,missions_done,60
20260723023,missions_done,1051
20260723024,missions_done,935
20260723025,missions_done,449
20260723001,missions_done,560
20260723002,missions_done,449
20260723003,missions_done,732
20260723004,missions_done,1755
20260723005,missions_done,730
20260723006,missions_done,598
20260723007,missions_done,44
20260723008,missions_done,865
20260723009,missions_done,1297
20260723010,missions_done,336
20260723011,missions_done,381
20260723012,missions_done,784
20260723013,missions_done,1599
20260723014,missions_done,818
20260723015,missions_done,466
20260723016,missions_done,1151
20260723017,missions_done,1196
20260723018,missions_done,367
20260723019,missions_done,443
20260723020,missions_done,251
20260723021,missions_done,1047
20260723022,missions_done,395
20260723023,missions_done,1876
20260723024,missions_done,1816
20260723025,missions_done,568
