# noise_v=0.03 noise_w=0.05 bias_w=0.0
ox,oy,oyaw,tx,ty,tyaw
0.000,0.000,0.000,-0.000,-0.000,0.000
-0.000,0.000,0.000,-0.000,-0.000,0.000
0.001,-0.001,-0.007,0.001,-0.001,-0.008
0.010,-0.008,-0.072,0.010,-0.008,-0.074
0.018,-0.016,-0.144,0.018,-0.016,-0.146
0.026,-0.024,-0.216,0.026,-0.025,-0.218
0.033,-0.033,-0.282,0.034,-0.034,-0.286
0.040,-0.042,-0.346,0.040,-0.043,-0.348
0.047,-0.050,-0.397,0.047,-0.051,-0.397
0.055,-0.058,-0.435,0.054,-0.058,-0.435
0.061,-0.066,-0.483,0.061,-0.067,-0.484
0.066,-0.076,-0.542,0.066,-0.077,-0.543
0.071,-0.086,-0.596,0.071,-0.086,-0.596
0.076,-0.095,-0.645,0.076,-0.096,-0.646
0.081,-0.104,-0.690,0.080,-0.105,-0.689
0.085,-0.113,-0.728,0.085,-0.113,-0.726
0.090,-0.121,-0.760,0.089,-0.122,-0.757
0.094,-0.129,-0.787,0.094,-0.130,-0.784
0.098,-0.137,-0.810,0.098,-0.138,-0.807
0.103,-0.145,-0.828,0.103,-0.146,-0.826
0.108,-0.153,-0.844,0.108,-0.154,-0.842
0.114,-0.162,-0.859,0.114,-0.163,-0.857
0.121,-0.173,-0.872,0.121,-0.173,-0.870
0.128,-0.183,-0.883,0.129,-0.184,-0.881
0.136,-0.194,-0.892,0.137,-0.195,-0.890
0.145,-0.206,-0.900,0.145,-0.207,-0.898
0.153,-0.218,-0.906,0.154,-0.219,-0.904
0.168,-0.238,-0.910,0.169,-0.239,-0.908
0.186,-0.259,-0.902,0.187,-0.261,-0.899
0.210,-0.285,-0.873,0.211,-0.286,-0.871
0.235,-0.309,-0.848,0.236,-0.310,-0.844
0.262,-0.334,-0.819,0.262,-0.334,-0.815
0.286,-0.355,-0.797,0.286,-0.356,-0.793
0.296,-0.367,-0.803,0.296,-0.367,-0.799
0.304,-0.376,-0.814,0.304,-0.377,-0.810
0.310,-0.386,-0.828,0.311,-0.386,-0.823
0.316,-0.395,-0.842,0.317,-0.395,-0.838
