# seed=20260723001 wall_start=2026-07-26 14:17:04 fmt=v2
sim_t,x,y,yaw_deg,p0x,p0y,p1x,p1y,p2x,p2y
0.100,-0.000,-0.000,0.0,-3.538,-5.847,-3.941,7.752,8.345,-7.747
0.200,-0.000,-0.000,0.0,-3.536,-5.747,-4.014,7.695,8.345,-7.747
0.300,0.012,-0.004,-2.3,-3.534,-5.647,-4.087,7.637,8.345,-7.747
0.400,0.028,-0.012,-5.8,-3.531,-5.547,-4.161,7.580,8.345,-7.747
0.500,0.043,-0.020,-9.2,-3.529,-5.447,-4.234,7.523,8.345,-7.747
0.600,0.060,-0.029,-12.4,-3.527,-5.347,-4.307,7.465,8.345,-7.747
0.700,0.077,-0.039,-15.5,-3.524,-5.247,-4.380,7.408,8.345,-7.747
0.800,0.095,-0.050,-18.5,-3.522,-5.147,-4.453,7.350,8.345,-7.747
0.900,0.114,-0.062,-21.2,-3.520,-5.047,-4.526,7.293,8.345,-7.747
1.000,0.134,-0.075,-23.7,-3.518,-4.947,-4.600,7.236,8.345,-7.747
1.100,0.156,-0.090,-26.1,-3.515,-4.847,-4.673,7.178,8.345,-7.747
1.200,0.179,-0.106,-28.1,-3.513,-4.747,-4.746,7.121,8.345,-7.747
1.300,0.204,-0.123,-30.0,-3.511,-4.647,-4.819,7.063,8.345,-7.747
1.400,0.229,-0.142,-31.6,-3.508,-4.547,-4.892,7.006,8.345,-7.747
1.500,0.255,-0.161,-33.1,-3.506,-4.447,-4.965,6.949,8.345,-7.747
1.600,0.282,-0.182,-34.3,-3.504,-4.347,-5.039,6.891,8.345,-7.747
1.700,0.310,-0.204,-35.4,-3.502,-4.247,-5.112,6.834,8.345,-7.747
1.800,0.338,-0.226,-36.3,-3.499,-4.147,-5.185,6.776,8.345,-7.747
1.900,0.368,-0.250,-37.1,-3.497,-4.047,-5.258,6.719,8.345,-7.747
2.000,0.397,-0.274,-37.8,-3.495,-3.947,-5.331,6.662,8.345,-7.747
2.100,0.426,-0.298,-38.3,-3.492,-3.847,-5.404,6.604,8.345,-7.747
2.200,0.455,-0.322,-38.7,-3.492,-3.764,-5.478,6.547,8.345,-7.747
2.300,0.482,-0.345,-39.0,-3.492,-3.664,-5.551,6.489,8.345,-7.747
2.400,0.509,-0.367,-39.2,-3.491,-3.564,-5.624,6.432,8.345,-7.747
2.500,0.536,-0.389,-39.4,-3.491,-3.464,-5.697,6.375,8.345,-7.747
2.600,0.561,-0.410,-39.4,-3.491,-3.364,-5.770,6.317,8.345,-7.747
2.700,0.587,-0.431,-39.4,-3.491,-3.264,-5.844,6.260,8.345,-7.747
2.800,0.611,-0.451,-39.2,-3.491,-3.164,-5.917,6.202,8.345,-7.747
2.900,0.635,-0.470,-38.9,-3.491,-3.064,-5.990,6.145,8.345,-7.747
3.000,0.659,-0.488,-38.6,-3.491,-2.964,-6.063,6.088,8.345,-7.747
3.100,0.683,-0.506,-38.2,-3.491,-2.864,-6.136,6.030,8.345,-7.747
3.200,0.706,-0.523,-37.8,-3.491,-2.764,-6.209,5.973,8.345,-7.747
3.300,0.729,-0.540,-37.3,-3.491,-2.664,-6.283,5.915,8.345,-7.747
3.400,0.752,-0.555,-36.7,-3.491,-2.564,-6.356,5.858,8.345,-7.747
3.500,0.774,-0.570,-36.0,-3.490,-2.464,-6.429,5.801,8.345,-7.747
3.600,0.796,-0.584,-35.3,-3.490,-2.364,-6.502,5.743,8.345,-7.747
3.700,0.818,-0.598,-34.6,-3.490,-2.264,-6.575,5.686,8.345,-7.747
3.800,0.839,-0.611,-33.8,-3.490,-2.164,-6.648,5.628,8.345,-7.747
3.900,0.861,-0.624,-33.1,-3.490,-2.064,-6.722,5.571,8.345,-7.747
4.000,0.883,-0.637,-32.3,-3.458,-2.004,-6.795,5.514,8.345,-7.747
4.100,0.905,-0.649,-31.6,-3.363,-1.973,-6.868,5.456,8.345,-7.747
4.200,0.927,-0.660,-30.7,-3.268,-1.942,-6.941,5.399,8.345,-7.747
4.300,0.949,-0.672,-30.0,-3.173,-1.912,-7.014,5.341,8.345,-7.747
4.400,0.972,-0.683,-29.2,-3.078,-1.881,-7.087,5.284,8.345,-7.747
4.500,0.994,-0.693,-28.4,-2.983,-1.850,-7.161,5.227,8.345,-7.747
4.600,1.016,-0.704,-27.6,-2.887,-1.819,-7.234,5.169,8.345,-7.747
4.700,1.039,-0.714,-26.9,-2.792,-1.789,-7.307,5.112,8.345,-7.747
4.800,1.061,-0.723,-26.1,-2.697,-1.758,-7.380,5.054,8.345,-7.747
4.900,1.084,-0.733,-25.3,-2.602,-1.727,-7.453,4.997,8.345,-7.747
5.000,1.107,-0.742,-24.6,-2.507,-1.697,-7.527,4.940,8.345,-7.747
5.100,1.131,-0.752,-24.0,-2.412,-1.666,-7.600,4.882,8.345,-7.747
5.200,1.154,-0.761,-23.3,-2.316,-1.635,-7.673,4.825,8.345,-7.747
5.300,1.179,-0.770,-22.7,-2.221,-1.604,-7.746,4.767,8.345,-7.747
5.400,1.203,-0.778,-22.1,-2.126,-1.574,-7.819,4.710,8.345,-7.747
5.500,1.227,-0.787,-21.5,-2.031,-1.543,-7.892,4.653,8.345,-7.747
5.600,1.252,-0.795,-20.9,-1.936,-1.512,-7.966,4.595,8.345,-7.747
5.700,1.277,-0.804,-20.4,-1.840,-1.482,-8.039,4.538,8.345,-7.747
5.800,1.302,-0.812,-19.8,-1.745,-1.451,-8.112,4.480,8.345,-7.747
5.900,1.326,-0.819,-19.2,-1.650,-1.420,-8.185,4.423,8.345,-7.747
6.000,1.351,-0.827,-18.7,-1.555,-1.389,-8.185,4.423,8.345,-7.747
6.100,1.376,-0.834,-18.1,-1.460,-1.359,-8.185,4.423,8.345,-7.747
6.200,1.401,-0.841,-17.6,-1.365,-1.328,-8.185,4.423,8.345,-7.747
6.300,1.427,-0.848,-17.1,-1.269,-1.297,-8.185,4.423,8.345,-7.747
6.400,1.453,-0.855,-16.6,-1.174,-1.267,-8.185,4.423,8.345,-7.747
6.500,1.478,-0.862,-16.1,-1.095,-1.241,-8.185,4.423,8.345,-7.747
6.600,1.504,-0.868,-15.6,-1.095,-1.241,-8.185,4.423,8.345,-7.747
6.700,1.529,-0.874,-15.1,-1.095,-1.241,-8.185,4.423,8.345,-7.747
6.800,1.555,-0.880,-14.5,-1.095,-1.241,-8.185,4.423,8.345,-7.747
6.900,1.581,-0.885,-14.0,-1.095,-1.241,-8.185,4.423,8.345,-7.747
7.000,1.606,-0.891,-13.5,-1.095,-1.241,-8.185,4.423,8.345,-7.747
7.100,1.632,-0.896,-12.9,-1.095,-1.241,-8.185,4.423,8.345,-7.747
7.200,1.657,-0.900,-12.4,-1.095,-1.241,-8.185,4.423,8.345,-7.747
7.300,1.683,-0.905,-11.8,-1.095,-1.241,-8.185,4.423,8.345,-7.747
7.400,1.708,-0.909,-11.3,-1.095,-1.241,-8.185,4.423,8.345,-7.747
7.500,1.734,-0.913,-10.7,-1.095,-1.241,-8.185,4.423,8.345,-7.747
7.600,1.759,-0.917,-10.2,-1.095,-1.241,-8.185,4.423,8.345,-7.747
7.700,1.785,-0.920,-9.6,-1.095,-1.241,-8.185,4.423,8.345,-7.747
7.800,1.810,-0.923,-9.1,-1.095,-1.241,-8.185,4.423,8.345,-7.747
7.900,1.836,-0.926,-8.5,-1.095,-1.241,-8.185,4.423,8.345,-7.747
8.000,1.861,-0.929,-7.9,-1.095,-1.241,-8.185,4.423,8.345,-7.747
8.100,1.887,-0.931,-7.3,-1.095,-1.241,-8.185,4.423,8.345,-7.747
8.200,1.912,-0.933,-6.8,-1.095,-1.241,-8.185,4.423,8.345,-7.747
8.300,1.938,-0.935,-6.2,-1.095,-1.241,-8.185,4.423,8.345,-7.747
8.400,1.963,-0.937,-5.6,-1.095,-1.241,-8.185,4.423,8.345,-7.747
8.500,1.989,-0.938,-5.1,-1.095,-1.241,-8.185,4.423,8.345,-7.747
8.600,2.016,-0.940,-4.6,-1.095,-1.241,-8.185,4.423,8.345,-7.747
8.700,2.043,-0.941,-4.2,-1.095,-1.241,-8.185,4.423,8.345,-7.747
8.800,2.070,-0.942,-3.8,-1.095,-1.241,-8.185,4.423,8.345,-7.747
8.900,2.097,-0.943,-3.3,-1.095,-1.241,-8.185,4.423,8.345,-7.747
9.000,2.124,-0.944,-2.9,-1.095,-1.241,-8.131,4.478,8.345,-7.747
9.100,2.149,-0.944,-2.3,-1.095,-1.241,-8.065,4.545,8.345,-7.747
9.200,2.175,-0.944,-1.8,-1.095,-1.241,-8.000,4.611,8.345,-7.747
9.300,2.201,-0.944,-1.2,-1.095,-1.241,-7.935,4.677,8.345,-7.747
9.400,2.228,-0.943,-0.7,-1.095,-1.241,-7.870,4.743,8.345,-7.747
9.500,2.254,-0.942,-0.2,-1.095,-1.241,-7.805,4.810,8.345,-7.747
9.600,2.280,-0.941,0.3,-1.191,-1.269,-7.739,4.876,8.345,-7.747
9.700,2.307,-0.940,0.8,-1.287,-1.297,-7.674,4.942,8.345,-7.747
9.800,2.333,-0.939,1.3,-1.383,-1.325,-7.609,5.009,8.345,-7.747
9.900,2.360,-0.937,1.8,-1.479,-1.353,-7.544,5.075,8.345,-7.747
10.000,2.387,-0.936,2.3,-1.575,-1.381,-7.478,5.141,8.345,-7.747
10.100,2.413,-0.934,2.7,-1.671,-1.409,-7.413,5.207,8.345,-7.747
10.200,2.440,-0.931,3.2,-1.767,-1.437,-7.348,5.274,8.345,-7.747
10.300,2.468,-0.929,3.6,-1.863,-1.465,-7.283,5.340,8.345,-7.747
10.400,2.495,-0.926,4.0,-1.959,-1.493,-7.217,5.406,8.345,-7.747
10.500,2.522,-0.924,4.4,-2.055,-1.521,-7.152,5.472,8.345,-7.747
10.600,2.550,-0.921,4.8,-2.151,-1.549,-7.087,5.539,8.345,-7.747
10.700,2.577,-0.917,5.3,-2.247,-1.577,-7.022,5.605,8.345,-7.747
10.800,2.603,-0.914,5.8,-2.343,-1.605,-6.956,5.671,8.345,-7.747
10.900,2.630,-0.910,6.3,-2.439,-1.633,-6.891,5.738,8.345,-7.747
11.000,2.655,-0.906,6.9,-2.535,-1.661,-6.826,5.804,8.345,-7.747
11.100,2.681,-0.902,7.5,-2.631,-1.689,-6.761,5.870,8.345,-7.747
11.200,2.706,-0.897,8.1,-2.727,-1.717,-6.695,5.936,8.345,-7.747
11.300,2.732,-0.893,8.7,-2.823,-1.745,-6.630,6.003,8.345,-7.747
11.400,2.758,-0.888,9.2,-2.919,-1.773,-6.565,6.069,8.345,-7.747
11.500,2.784,-0.882,9.8,-3.015,-1.801,-6.500,6.135,8.345,-7.747
11.600,2.809,-0.877,10.4,-3.111,-1.829,-6.434,6.202,8.345,-7.747
11.700,2.833,-0.871,11.1,-3.207,-1.857,-6.369,6.268,8.345,-7.747
11.800,2.857,-0.865,11.8,-3.303,-1.885,-6.304,6.334,8.345,-7.747
11.900,2.882,-0.858,12.5,-3.399,-1.913,-6.239,6.400,8.345,-7.747
12.000,2.912,-0.848,14.3,-3.418,-1.985,-6.174,6.467,8.345,-7.747
12.100,2.947,-0.829,18.9,-3.422,-2.085,-6.108,6.533,8.345,-7.747
12.200,2.980,-0.807,23.6,-3.426,-2.185,-6.043,6.599,8.345,-7.747
12.300,3.011,-0.782,28.4,-3.430,-2.284,-5.978,6.665,8.345,-7.747
12.400,3.040,-0.755,33.1,-3.434,-2.384,-5.913,6.732,8.345,-7.747
12.500,3.067,-0.726,37.6,-3.438,-2.484,-5.847,6.798,8.345,-7.747
12.600,3.091,-0.694,42.2,-3.442,-2.584,-5.782,6.864,8.345,-7.747
12.700,3.111,-0.664,46.8,-3.446,-2.684,-5.717,6.931,8.345,-7.747
12.800,3.114,-0.647,52.0,-3.451,-2.784,-5.652,6.997,8.345,-7.747
12.900,3.111,-0.633,57.7,-3.455,-2.884,-5.586,7.063,8.345,-7.747
13.000,3.108,-0.620,63.0,-3.459,-2.984,-5.521,7.129,8.345,-7.747
13.100,3.104,-0.608,68.1,-3.463,-3.084,-5.456,7.196,8.345,-7.747
13.200,3.099,-0.596,72.7,-3.467,-3.184,-5.391,7.262,8.345,-7.747
13.300,3.095,-0.585,76.5,-3.471,-3.284,-5.325,7.328,8.345,-7.747
13.400,3.098,-0.569,77.0,-3.475,-3.384,-5.260,7.395,8.345,-7.747
13.500,3.109,-0.553,73.4,-3.479,-3.483,-5.195,7.461,8.345,-7.747
13.600,3.120,-0.542,69.3,-3.484,-3.583,-5.130,7.527,8.345,-7.747
13.700,3.132,-0.534,64.8,-3.487,-3.667,-5.064,7.593,8.345,-7.747
13.800,3.144,-0.528,60.2,-3.489,-3.767,-4.999,7.660,8.345,-7.747
13.900,3.158,-0.521,56.0,-3.492,-3.867,-4.977,7.682,8.345,-7.747
14.000,3.172,-0.513,52.0,-3.494,-3.967,-4.977,7.682,8.345,-7.747
14.100,3.188,-0.505,48.3,-3.496,-4.066,-4.977,7.682,8.345,-7.747
14.200,3.204,-0.496,45.2,-3.499,-4.166,-4.977,7.682,8.345,-7.747
14.300,3.209,-0.488,46.2,-3.501,-4.266,-4.977,7.682,8.345,-7.747
14.400,3.208,-0.475,51.3,-3.503,-4.366,-4.977,7.682,8.345,-7.747
14.500,3.218,-0.445,56.6,-3.506,-4.466,-4.977,7.682,8.345,-7.747
14.600,3.231,-0.408,61.4,-3.508,-4.566,-4.977,7.682,8.345,-7.747
14.700,3.240,-0.369,66.1,-3.510,-4.666,-4.977,7.682,8.345,-7.747
14.800,3.240,-0.347,70.9,-3.513,-4.766,-4.977,7.682,8.345,-7.747
14.900,3.235,-0.328,76.5,-3.515,-4.866,-4.977,7.682,8.345,-7.747
15.000,3.238,-0.310,77.2,-3.517,-4.966,-4.977,7.682,8.345,-7.747
15.100,3.247,-0.298,74.0,-3.520,-5.066,-4.977,7.682,8.345,-7.747
15.200,3.257,-0.290,70.1,-3.522,-5.166,-4.977,7.682,8.345,-7.747
15.300,3.267,-0.285,65.8,-3.524,-5.266,-4.977,7.682,8.345,-7.747
15.400,3.277,-0.283,61.3,-3.527,-5.366,-4.977,7.682,8.345,-7.747
15.500,3.287,-0.281,57.0,-3.529,-5.466,-4.977,7.682,8.345,-7.747
15.600,3.297,-0.278,53.1,-3.531,-5.566,-4.977,7.682,8.345,-7.747
