# seed=20260723007 wall_start=2026-07-23 12:37:18
sim_t,x,y,yaw_deg
0.033,-0.000,-0.000,0.0
0.133,-0.000,-0.000,0.0
0.233,0.001,0.001,0.4
0.333,0.009,0.006,3.1
0.433,0.018,0.012,6.1
0.533,0.027,0.018,9.1
0.633,0.034,0.026,12.7
0.733,0.042,0.036,17.1
0.833,0.048,0.046,21.4
0.933,0.054,0.056,25.0
1.033,0.060,0.065,28.2
1.133,0.065,0.074,31.1
1.233,0.071,0.083,33.7
1.333,0.076,0.091,36.1
1.433,0.081,0.100,38.1
1.533,0.086,0.108,40.0
1.633,0.092,0.117,41.7
1.733,0.099,0.127,43.3
1.833,0.107,0.138,44.7
1.933,0.115,0.150,45.9
2.033,0.125,0.163,47.0
2.133,0.136,0.177,48.0
2.233,0.147,0.192,48.8
2.333,0.159,0.208,49.5
2.433,0.172,0.225,50.1
2.533,0.185,0.242,50.5
2.633,0.198,0.260,50.9
2.733,0.212,0.278,51.3
2.833,0.226,0.296,51.5
2.933,0.240,0.315,51.8
3.033,0.255,0.334,52.0
3.133,0.270,0.353,52.1
3.233,0.284,0.373,52.2
3.333,0.299,0.392,52.3
3.433,0.314,0.412,52.5
3.533,0.329,0.431,52.5
3.633,0.344,0.451,52.6
3.733,0.359,0.471,52.7
3.833,0.374,0.491,52.8
3.933,0.389,0.511,52.9
4.033,0.403,0.530,52.9
4.133,0.418,0.550,53.0
4.233,0.433,0.570,53.1
4.333,0.448,0.590,53.1
4.433,0.462,0.610,53.2
4.533,0.477,0.630,53.3
4.633,0.492,0.650,53.3
4.733,0.507,0.669,53.4
4.833,0.521,0.689,53.4
4.933,0.536,0.709,53.5
5.033,0.550,0.729,53.6
5.133,0.565,0.749,53.6
5.233,0.580,0.769,53.7
5.333,0.594,0.789,53.7
5.433,0.609,0.809,53.8
5.533,0.623,0.829,53.8
5.633,0.638,0.849,53.9
5.733,0.652,0.869,53.9
5.833,0.667,0.889,54.0
5.933,0.681,0.909,54.0
6.033,0.696,0.929,54.1
6.133,0.710,0.949,54.1
6.233,0.724,0.969,54.2
6.333,0.738,0.989,54.3
6.433,0.752,1.009,54.3
6.533,0.766,1.029,54.4
6.633,0.784,1.051,53.9
6.733,0.802,1.074,53.4
6.833,0.820,1.097,52.8
6.933,0.839,1.119,52.2
7.033,0.854,1.139,52.3
7.133,0.868,1.158,52.4
7.233,0.881,1.176,52.7
7.333,0.894,1.194,53.0
7.433,0.907,1.212,53.3
7.533,0.920,1.230,53.6
7.633,0.933,1.249,53.9
7.733,0.946,1.267,54.2
7.833,0.959,1.286,54.4
7.933,0.971,1.305,54.6
8.033,0.984,1.324,54.9
8.133,0.997,1.343,55.0
8.233,1.011,1.362,55.2
8.333,1.024,1.382,55.3
8.433,1.037,1.401,55.4
8.533,1.050,1.421,55.6
8.633,1.063,1.440,55.7
8.733,1.076,1.460,55.8
8.833,1.089,1.480,55.9
8.933,1.103,1.499,56.0
9.033,1.116,1.519,56.1
9.133,1.120,1.535,58.9
9.233,1.130,1.562,61.3
9.333,1.150,1.591,59.6
9.433,1.171,1.620,57.8
9.533,1.193,1.647,56.0
9.633,1.215,1.672,54.0
9.733,1.238,1.696,51.9
9.833,1.262,1.721,50.1
9.933,1.288,1.747,48.5
10.033,1.302,1.762,48.6
10.133,1.310,1.774,49.6
10.233,1.316,1.785,50.8
10.333,1.321,1.795,52.2
10.433,1.325,1.805,53.6
10.533,1.329,1.815,55.0
10.633,1.334,1.826,56.2
10.733,1.340,1.838,57.3
10.833,1.346,1.850,58.3
10.933,1.362,1.877,58.1
11.033,1.384,1.906,56.8
11.133,1.407,1.936,55.4
11.233,1.431,1.966,54.0
11.333,1.455,1.994,52.6
11.433,1.480,2.022,51.4
11.533,1.504,2.048,50.3
11.633,1.527,2.073,49.4
11.733,1.538,2.087,50.0
11.833,1.544,2.098,51.2
11.933,1.549,2.108,52.5
12.033,1.553,2.118,53.8
12.133,1.557,2.127,55.2
12.233,1.562,2.138,56.4
12.333,1.566,2.149,57.6
12.433,1.571,2.161,58.7
12.533,1.577,2.174,59.7
12.633,1.583,2.188,60.6
12.733,1.590,2.202,61.3
12.833,1.597,2.218,61.9
12.933,1.605,2.235,62.4
13.033,1.613,2.252,62.9
13.133,1.621,2.269,63.3
13.233,1.629,2.287,63.7
13.333,1.637,2.305,63.9
13.433,1.646,2.323,64.2
13.533,1.654,2.342,64.4
13.633,1.663,2.361,64.6
13.733,1.672,2.380,64.8
13.833,1.681,2.400,64.9
13.933,1.690,2.420,64.9
14.033,1.699,2.440,65.0
14.133,1.708,2.459,65.1
14.233,1.717,2.479,65.1
14.333,1.726,2.499,65.2
14.433,1.735,2.519,65.2
14.533,1.744,2.539,65.3
14.633,1.753,2.559,65.3
14.733,1.762,2.578,65.4
14.833,1.770,2.596,65.4
14.933,1.777,2.612,65.5
15.033,1.784,2.627,65.5
15.133,1.790,2.641,65.6
15.233,1.797,2.654,65.5
15.333,1.803,2.668,65.4
15.433,1.809,2.680,65.3
15.533,1.814,2.691,65.3
15.633,1.818,2.700,65.3
15.733,1.822,2.708,65.4
15.833,1.825,2.716,65.4
15.933,1.828,2.723,65.4
16.033,1.831,2.729,65.5
16.133,1.833,2.735,65.5
16.233,1.836,2.740,65.5
16.333,1.838,2.745,65.6
16.433,1.840,2.749,65.6
16.533,1.842,2.754,65.6
16.633,1.843,2.758,65.6
16.733,1.845,2.761,65.7
16.833,1.847,2.764,65.7
16.933,1.843,2.766,68.0
17.033,1.836,2.769,72.5
17.133,1.828,2.771,77.1
17.233,1.820,2.773,81.6
17.333,1.817,2.777,83.5
17.433,1.819,2.785,83.3
17.533,1.817,2.800,85.0
17.633,1.812,2.831,89.1
17.733,1.802,2.869,93.8
17.833,1.790,2.906,98.1
17.933,1.779,2.940,101.0
18.033,1.770,2.970,102.4
18.133,1.762,2.998,103.5
18.233,1.754,3.024,104.2
18.333,1.747,3.048,104.8
18.433,1.740,3.071,105.3
18.533,1.733,3.094,105.7
18.633,1.726,3.118,105.8
18.733,1.719,3.140,106.1
18.833,1.712,3.161,106.3
18.933,1.706,3.185,106.0
19.033,1.700,3.205,106.1
19.133,1.694,3.227,106.1
19.233,1.688,3.251,105.7
19.333,1.682,3.272,105.8
19.433,1.676,3.296,105.3
19.533,1.670,3.322,104.8
19.633,1.664,3.343,104.9
19.733,1.658,3.367,104.5
19.833,1.653,3.387,104.6
19.933,1.647,3.413,104.3
20.033,1.641,3.439,103.9
20.133,1.636,3.465,103.4
20.233,1.630,3.491,103.0
20.333,1.625,3.518,102.4
20.433,1.620,3.542,102.3
20.533,1.615,3.567,102.2
20.633,1.610,3.594,101.7
20.733,1.605,3.620,101.7
20.833,1.599,3.648,101.5
20.933,1.594,3.676,101.4
21.033,1.589,3.704,101.2
21.133,1.584,3.733,100.9
21.233,1.579,3.761,100.6
21.333,1.574,3.790,100.3
21.433,1.570,3.819,99.9
21.533,1.566,3.848,99.5
21.633,1.561,3.877,99.5
21.733,1.556,3.906,99.5
21.833,1.551,3.936,99.2
21.933,1.547,3.966,99.1
22.033,1.542,3.996,98.9
22.133,1.538,4.026,98.6
22.233,1.534,4.056,98.4
22.333,1.530,4.086,98.5
22.433,1.525,4.116,98.6
22.533,1.520,4.146,98.6
22.633,1.516,4.177,98.6
22.733,1.511,4.207,98.7
22.833,1.506,4.238,98.8
22.933,1.501,4.268,99.0
23.033,1.496,4.298,98.9
23.133,1.492,4.328,98.6
23.233,1.488,4.358,98.4
23.333,1.484,4.388,98.4
23.433,1.479,4.417,98.4
23.533,1.475,4.447,98.3
23.633,1.471,4.477,98.3
23.733,1.467,4.507,98.3
23.833,1.462,4.537,98.3
23.933,1.458,4.567,98.4
24.033,1.453,4.597,98.5
24.133,1.448,4.627,98.5
24.233,1.444,4.656,98.7
24.333,1.439,4.686,98.5
24.433,1.436,4.715,98.3
24.533,1.432,4.745,98.2
24.633,1.428,4.774,98.1
24.733,1.423,4.803,98.1
24.833,1.419,4.832,98.0
24.933,1.415,4.862,98.0
25.033,1.411,4.891,98.0
25.133,1.407,4.920,98.0
25.233,1.403,4.950,98.0
25.333,1.399,4.979,98.1
25.433,1.394,5.008,98.2
25.533,1.390,5.037,98.1
25.633,1.386,5.066,98.0
25.733,1.383,5.096,97.6
25.833,1.382,5.126,96.0
25.933,1.382,5.156,94.5
26.033,1.383,5.186,93.0
26.133,1.384,5.216,91.5
26.233,1.386,5.247,90.1
26.333,1.389,5.280,88.9
26.433,1.392,5.313,87.9
26.533,1.395,5.348,87.1
26.633,1.398,5.384,86.3
26.733,1.402,5.421,85.7
26.833,1.406,5.459,85.1
26.933,1.410,5.497,84.6
