# world seed 983120
type,name,x,y,param1,param2,yaw
box,gate_0_a,-1.04,-4.71,1.65,0.40,60.5
box,gate_0_b,-0.02,-5.28,1.65,0.40,60.5
gate,gate_0,-0.53,-5.00,0.77,1.65,60.5
box,gate_1_a,-7.14,-7.39,1.90,0.40,172.2
box,gate_1_b,-6.99,-6.32,1.90,0.40,172.2
gate,gate_1,-7.07,-6.85,0.68,1.90,172.2
box,gate_2_a,6.19,-1.27,2.00,0.40,13.7
box,gate_2_b,6.49,-2.51,2.00,0.40,13.7
gate,gate_2,6.34,-1.89,0.88,2.00,13.7
box,gate_3_a,-3.19,6.96,1.93,0.40,78.8
box,gate_3_b,-1.91,6.71,1.93,0.40,78.8
gate,gate_3,-2.55,6.84,0.90,1.93,78.8
box,rnd_box_0,6.27,-8.27,2.77,0.88,115.3
box,rnd_box_1,-2.21,3.09,0.96,1.73,67.1
box,rnd_box_2,3.12,-3.78,1.06,1.76,39.0
box,rnd_box_3,6.95,8.15,2.42,1.00,87.7
box,rnd_box_4,-5.11,0.28,1.66,0.76,178.5
box,rnd_box_5,-4.40,-4.49,2.66,1.14,135.5
box,rnd_box_6,-8.43,-3.34,2.24,1.51,132.6
box,rnd_box_7,-6.67,8.24,1.95,0.89,164.4
box,rnd_box_8,-8.09,2.97,1.45,0.64,91.4
box,rnd_box_9,-3.65,-8.15,2.83,0.74,132.0
box,rnd_box_10,7.48,3.08,2.99,1.09,71.4
box,rnd_box_11,1.57,7.23,2.89,0.59,82.6
cyl,rnd_cyl_0,2.77,2.51,1.29,2.0,0
cyl,rnd_cyl_1,2.53,-7.08,1.34,2.0,0
cyl,rnd_cyl_2,-5.39,4.79,1.19,2.0,0
cyl,rnd_cyl_3,-8.10,5.26,0.79,2.0,0
cyl,rnd_cyl_4,-2.21,-1.97,0.69,2.0,0
person,person_0,4.46,5.39,0,0,-6.7
person,person_1,8.33,-5.63,0,0,72.3
person,person_2,-0.44,-7.82,0,0,-101.4
